id,timestamp,username,text,hashtags,geo,retweets,favorites,mentions,to,date
1256372334086291457,2020-05-01 23:58:01+00:00,ForOurFutureNV,"Did you complete your #2020Census yet? Did you know that Nevada receives $20,000 for every person that gets counted… https://buff.ly/3d4i3z0",#2020Census,,7,9,,,2020-05-01
1256372275143749634,2020-05-01 23:57:47+00:00,robachma,#2020Census ,#2020Census,,0,1,,GregMartinMusic,2020-05-01
1256372204947812356,2020-05-01 23:57:30+00:00,ISRAELPROPHET,Message: Why respond to the #2020Census? Census data helps states and communities get their share of billions of dollars in federal funding. Respond today at http://2020census.gov.,#2020Census,,0,0,,,2020-05-01
1256372053009223682,2020-05-01 23:56:54+00:00,ISRAELPROPHET1,Message: Why respond to the #2020Census? Census data helps states and communities get their share of billions of dollars in federal funding. Respond today at http://2020census.gov. pic.twitter.com/cOgbjB6IkL,#2020Census,,1,1,,,2020-05-01
1256371553698078722,2020-05-01 23:54:55+00:00,CityFortBraggCA,Did you know the #2020census is required by the U.S. Constitution? Respond online now: http://www.2020census.gov #censusfacts,#2020census #censusfacts,,0,2,,,2020-05-01
1256371093448863745,2020-05-01 23:53:05+00:00,PROPHECYandNEWS,Message: Why respond to the #2020Census? Census data helps states and communities get their share of billions of dollars in federal funding. Respond today at http://2020census.gov. pic.twitter.com/EzpL0Ny8Ta,#2020Census,,0,0,,,2020-05-01
1256370819497771008,2020-05-01 23:52:00+00:00,tylerisd,"No matter where you call home, the #2020Census is your chance to shape the future of your community. Complete the census today! http://2020Census.gov #YouCount #YouCountEastTexas",#2020Census #YouCount #YouCountEastTexas,,0,1,,,2020-05-01
1256370387413159937,2020-05-01 23:50:17+00:00,OLS_SEA,"On May 1, we count for ALL workers - our essential workers, our health care workers, farm workers, grocery store clerks and bus drivers. When we ALL complete the #2020Census, we bring the resources, funding and strength needed for Seattle to thrive. Go to: https://2020census.gov/",#2020Census,,0,0,,,2020-05-01
1256370189970493440,2020-05-01 23:49:30+00:00,BHCSouthKern,Did you know the #2020census is required by the U.S. Constitution? Respond online now: http://www.2020census.gov #censusfacts,#2020census #censusfacts,,0,0,,,2020-05-01
1256369732225294336,2020-05-01 23:47:41+00:00,kpnorcal,"Hear from @barruean, Kaiser Permanente's Senior VP of Government Relations, about why you should complete the #2020Census and encourage others to do the same: ",#2020Census,,10,14,@barruean,,2020-05-01
1256369433787981825,2020-05-01 23:46:29+00:00,DeedsActionFund,"Hey Changemakers There’s still time to shape the future for your community. You can complete the #2020Census now online, by phone, or by mail. Visit http://2020Census.gov. ",#2020Census,,2,3,,,2020-05-01
1256369189020893185,2020-05-01 23:45:31+00:00,cps_cchs,"Complete the Census: Did you respond yet? Help the schools in our communities when their doors reopen and for the next 10 years by responding to the ​#2020Census​ now. You can answer online, by phone, or by mail. Visit ​http://2020Census.gov",#2020Census,,0,3,,,2020-05-01
1256369075569262592,2020-05-01 23:45:04+00:00,HOTSPRINGSGOV,"It’s not too late to respond to the 2020 Census while being safe and practicing social distancing at home. Once you have responded, please encourage your family, friends, and loved ones to complete the census, too. Visit http://2020census.gov #2020census #censo2020",#2020census #censo2020 #censo2020,,0,0,,,2020-05-01
1256369072427720704,2020-05-01 23:45:03+00:00,corvallislib,"Help the schools in our communities when their doors reopen and for the next 10 years by responding to the #2020Census now. You can answer online, by phone, or by mail. Visit http://2020Census.gov",#2020Census,,0,0,,,2020-05-01
